year,manufacturer,make,make/model,thefts,production,rate,type
2008,GENERAL MOTORS,CHEVROLET,MALIBU,423,155433,2.72,Car
2006,SUBARU,SUBARU,legacy/outback,59,21696,2.72,Car
2010,FORD MOTOR CO,LINCOLN,TOWN CAR,27,9937,2.72,Car
2006,DAIMLERCHRYSLER,CHRYSLER,PACIFICA,224,82451,2.72,MPV
2009,GENERAL MOTORS,CHEVROLET,IMPALA,499,183769,2.72,Car
2011,KIA,KIA,rio,51,0,2.71,Car
2011,PORSCHE,PORSCHE,panamera,22,0,2.70,Car
2005,SUBARU,SUBARU,impreza,103,38390,2.68,Car
2013,NISSAN,NISSAN,versa,151,56410,2.68,Car
2006,MITSUBISHI,MITSUBISHI,eclipse,79,29582,2.67,Car
2004,SUZUKI,SUZUKI,verona,44,16478,2.67,Car
2010,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,3,1124,2.67,Car
2006,KIA,KIA,rio,91,34103,2.67,Car
2006,GENERAL MOTORS,CADILLAC,DTS,173,65335,2.65,Car
2007,KIA,KIA,spectra,171,64591,2.65,Car
2004,BMW,BMW,7,43,16245,2.65,Car
2010,BMW,BMW,7,15,5702,2.63,Car
2005,GENERAL MOTORS,PONTIAC,GRAND PRIX,284,107972,2.63,Car
2008,KIA,KIA,rio,92,35014,2.63,Car
2009,NISSAN,INFINITI,FX35,35,13375,2.62,MPV
2007,KIA,KIA,rio,83,31947,2.60,Car
2005,FORD MOTOR CO,FORD,FOCUS,637,245780,2.59,Car
2008,AUDI,AUDI,S8,1,386,2.59,Car
2005,TOYOTA,TOYOTA,celica,11,4258,2.58,Car
2009,CHRYSLER,DODGE,CHALLENGER,53,20526,2.58,Car
2008,GENERAL MOTORS,PONTIAC,G5,52,20185,2.58,Car
2004,GENERAL MOTORS,CADILLAC,SEVILLE,16,6222,2.57,Car
2009,NISSAN,NISSAN,pathfinder,13,5076,2.56,MPV
2005,BMW,BMW,m3,14,5471,2.56,Car
2014,KIA,KIA,rio,77,30113,2.56,Car
2006,BMW,BMW,m5,11,4309,2.55,Car
2004,ISUZU,ISUZU,rodeo,43,16863,2.55,MPV
2013,CHRYSLER,CHRYSLER,200,340,133344,2.55,Car
2014,FORD MOTOR CO,FORD,MUSTANG,307,120845,2.54,Car
2012,MERCEDES-BENZ,MERCEDES-BENZ,s-class,29,11443,2.53,Car
2005,GENERAL MOTORS,PONTIAC,GTO,28,11065,2.53,Car
2007,MITSUBISHI,MITSUBISHI,eclipse,107,42300,2.53,Car
2004,NISSAN,NISSAN,maxima,301,119146,2.53,Car
2010,HYUNDAI,HYUNDAI,sonata,195,77219,2.53,Car
2009,BMW,BMW,m6,1,397,2.52,Car
2010,HYUNDAI,HYUNDAI,accent,139,55245,2.52,Car
2006,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,373,148522,2.51,MPV
2007,FORD MOTOR CO,FORD,FOCUS,576,229738,2.51,Car
2005,ROLLS ROYCE,ROLLS ROYCE,phantom,1,399,2.51,Car
2005,FORD MOTOR CO,FORD,MUSTANG,362,145599,2.49,Car
2008,GENERAL MOTORS,CHEVROLET,AVEO,139,56070,2.48,Car
2014,GENERAL MOTORS,CHEVROLET,SS,7,2826,2.48,Car
2011,CHRYSLER,DODGE,CHALLENGER,60,0,2.48,Car
2004,TOYOTA,TOYOTA,celica,21,8483,2.48,Car
2007,GENERAL MOTORS,CHEVROLET,AVEO,166,67104,2.47,Car
2009,CHRYSLER,DODGE,NITRO,26,10539,2.47,MPV
2007,HYUNDAI,HYUNDAI,sonata,302,123439,2.45,Car
2004,DAIMLERCHRYSLER,CHRYSLER,PT CRUISER,255,104558,2.44,MPV
2004,BMW,BMW,m3,21,8632,2.43,Car
2012,NISSAN,NISSAN,altima,760,313956,2.42,Car
2007,VOLVO,VOLVO,S 40,53,21905,2.42,Car
2009,NISSAN,NISSAN,maxima,141,58278,2.42,Car
2006,FORD MOTOR CO,LINCOLN,TOWN CAR,97,40317,2.41,Car
2013,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,14,5821,2.41,Car
2005,MITSUBISHI,MITSUBISHI,outlander,36,14983,2.40,MPV
2007,HYUNDAI,HYUNDAI,elantra,192,80133,2.40,Car
2008,KIA,KIA,optima,113,47198,2.39,Car
2005,GENERAL MOTORS,CHEVROLET,BLAZER S10/T10,12,5018,2.39,MPV
2009,KIA,KIA,rondo,42,17573,2.39,Car
2007,NISSAN,NISSAN,maxima,152,63601,2.39,Car
2014,CHRYSLER,CHRYSLER,300,167,69884,2.39,Car
2010,KIA,KIA,optima,60,25135,2.39,Car
2005,NISSAN,INFINITI,FX35,72,30172,2.39,MPV
2005,DAIMLERCHRYSLER,JEEP,WRANGLER,178,74706,2.38,MPV
2009,MAZDA,MAZDA,5,53,22248,2.38,MPV
2008,GENERAL MOTORS,CADILLAC,DTS,97,40809,2.38,Car
2004,KIA,KIA,amanti,46,19363,2.38,Car
2014,NISSAN,NISSAN,versa,354,149584,2.37,Car
2008,VOLVO,VOLVO,S 60,32,13592,2.35,Car
2007,BMW,BMW,m6,8,3400,2.35,Car
2005,GENERAL MOTORS,CADILLAC,XLR,9,3828,2.35,Car
2011,NISSAN,NISSAN,versa,229,0,2.35,Car
2005,BMW,BMW,6,25,10636,2.35,Car
2004,GENERAL MOTORS,PONTIAC,AZTEK,49,20854,2.35,MPV
2006,TOYOTA,SCION,tC,189,80576,2.35,Car
2005,TOYOTA,TOYOTA,corolla,864,368744,2.34,Car
2006,GENERAL MOTORS,CHEVROLET,HHR,267,113967,2.34,MPV
2007,MITSUBISHI,MITSUBISHI,endeavor,30,12805,2.34,Car
2005,TOYOTA,SCION,tC,146,62321,2.34,Car
2009,GENERAL MOTORS,CHEVROLET,MALIBU,413,176813,2.34,Car
2007,NISSAN,NISSAN,sentra,225,96584,2.33,Car
2014,NISSAN,NISSAN,maxima,176,75620,2.33,Car
2005,NISSAN,NISSAN,frontier pickup,146,62799,2.32,Truck
2006,KIA,KIA,spectra,184,79152,2.32,Car
2006,TOYOTA,LEXUS,LS,40,17220,2.32,Car
2004,MAZDA,MAZDA,6,176,75843,2.32,Car
